,atc_code,atc_name,rank
0,A,ALIMENTARY TRACT AND METABOLISM,0.0
1,A01,STOMATOLOGICAL PREPARATIONS,1.0
2,A01A,STOMATOLOGICAL PREPARATIONS,2.0
3,A01AA,Caries prophylactic agents,3.0
4,A01AA01,sodium fluoride,4.0
5,A01AA02,sodium monofluorophosphate,4.0
6,A01AA03,olaflur,4.0
7,A01AA04,stannous fluoride,4.0
8,A01AA30,combinations,4.0
9,A01AA51,"sodium fluoride, combinations",4.0
10,A01AB,Antiinfectives and antiseptics for local oral treatment,3.0
11,A01AB02,hydrogen peroxide,4.0
12,A01AB03,chlorhexidine,4.0
13,A01AB04,amphotericin B,4.0
14,A01AB05,polynoxylin,4.0
15,A01AB06,domiphen,4.0
16,A01AB07,oxyquinoline,4.0
17,A01AB08,neomycin,4.0
18,A01AB09,miconazole,4.0
19,A01AB10,natamycin,4.0
20,A01AB11,various,4.0
21,A01AB12,hexetidine,4.0
22,A01AB13,tetracycline,4.0
23,A01AB14,benzoxonium chloride,4.0
24,A01AB15,tibezonium iodide,4.0
25,A01AB16,mepartricin,4.0
26,A01AB17,metronidazole,4.0
27,A01AB18,clotrimazole,4.0
28,A01AB19,sodium perborate,4.0
29,A01AB21,chlortetracycline,4.0
30,A01AB22,doxycycline,4.0
31,A01AB23,minocycline,4.0
32,A01AC,Corticosteroids for local oral treatment,3.0
33,A01AC01,triamcinolone,4.0
34,A01AC02,dexamethasone,4.0
35,A01AC03,hydrocortisone,4.0
36,A01AC54,"prednisolone, combinations",4.0
37,A01AD,Other agents for local oral treatment,3.0
38,A01AD01,epinephrine,4.0
39,A01AD02,benzydamine,4.0
40,A01AD05,acetylsalicylic acid,4.0
41,A01AD06,adrenalone,4.0
42,A01AD07,amlexanox,4.0
43,A01AD08,becaplermin,4.0
44,A01AD11,various,4.0
45,A02,DRUGS FOR ACID RELATED DISORDERS,1.0
46,A02A,ANTACIDS,2.0
47,A02AA,Magnesium compounds,3.0
48,A02AA01,magnesium carbonate,4.0
49,A02AA02,magnesium oxide,4.0
50,A02AA03,magnesium peroxide,4.0
51,A02AA04,magnesium hydroxide,4.0
52,A02AA05,magnesium silicate,4.0
53,A02AA10,combinations,4.0
54,A02AB,Aluminium compounds,3.0
55,A02AB01,aluminium hydroxide,4.0
56,A02AB02,algeldrate,4.0
57,A02AB03,aluminium phosphate,4.0
58,A02AB04,dihydroxialumini sodium carbonate,4.0
59,A02AB05,aluminium acetoacetate,4.0
60,A02AB06,aloglutamol,4.0
61,A02AB07,aluminium glycinate,4.0
62,A02AB10,combinations,4.0
63,A02AC,Calcium compounds,3.0
64,A02AC01,calcium carbonate,4.0
65,A02AC02,calcium silicate,4.0
66,A02AC10,combinations,4.0
67,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",3.0
68,A02AD01,ordinary salt combinations,4.0
69,A02AD02,magaldrate,4.0
70,A02AD03,almagate,4.0
71,A02AD04,hydrotalcite,4.0
72,A02AD05,almasilate,4.0
73,A02AF,Antacids with antiflatulents,3.0
74,A02AF01,magaldrate and antiflatulents,4.0
75,A02AF02,ordinary salt combinations and antiflatulents,4.0
76,A02AG,Antacids with antispasmodics,3.0
77,A02AH,Antacids with sodium bicarbonate,3.0
78,A02AX,"Antacids, other combinations",3.0
79,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),2.0
80,A02BA,H2-receptor antagonists,3.0
81,A02BA01,cimetidine,4.0
82,A02BA02,ranitidine,4.0
83,A02BA03,famotidine,4.0
84,A02BA04,nizatidine,4.0
85,A02BA05,niperotidine,4.0
86,A02BA06,roxatidine,4.0
87,A02BA07,ranitidine bismuth citrate,4.0
88,A02BA08,lafutidine,4.0
89,A02BA51,"cimetidine, combinations",4.0
90,A02BA53,"famotidine, combinations",4.0
91,A02BB,Prostaglandins,3.0
92,A02BB01,misoprostol,4.0
93,A02BB02,enprostil,4.0
94,A02BC,Proton pump inhibitors,3.0
